player_name,element_type_2526,now_cost_2425,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,ict_index,influence,creativity,threat,bonus,bps,red_cards,yellow_cards,selected_by_percent,now_cost_2526,predicted_now_cost_2526,pct_diff,valuation
Joe Willock,MID,47,46,1065,0,2,16,4,63.9,172.8,273.8,197.0,0,139,0,4,0.1,50,49.35248735389008,-0.01295025292219833,Appropriately valued
Amad Diallo,MID,53,129,1898,8,8,30,7,193.8,634.0,687.2,615.0,17,569,0,5,4.1,65,64.14873592055771,-0.013096370452958275,Appropriately valued
Adam Wharton,MID,47,42,1314,0,2,21,4,71.2,261.2,381.4,69.0,0,244,0,2,0.1,50,49.3315742626884,-0.013368514746232024,Appropriately valued
Emiliano Martínez Romero,GK,50,111,3195,0,0,47,8,86.0,839.6,20.0,0.0,6,457,1,5,13.3,50,49.31510841430901,-0.013697831713819823,Appropriately valued
Jean-Ricner Bellegarde,MID,49,90,1666,2,7,31,6,97.2,355.6,422.8,200.0,5,332,0,3,0.2,55,54.204412817886144,-0.014465221492979196,Appropriately valued
Igor Julio dos Santos de Paulo,DEF,43,18,959,0,0,17,1,24.9,189.6,54.7,4.0,0,113,0,4,0.1,45,44.338361727897805,-0.01470307271338211,Appropriately valued
Issa Diop,DEF,43,31,1334,0,0,19,1,38.3,257.6,44.7,83.0,0,146,0,2,0.2,45,44.302838128724396,-0.015492486028346757,Appropriately valued
Tino Livramento,DEF,46,105,2835,0,1,40,10,110.1,567.4,406.2,127.0,6,476,0,1,8.9,50,49.20367704473182,-0.01592645910536362,Appropriately valued
Pau Torres,DEF,42,55,2019,0,0,33,5,54.0,350.6,84.5,102.0,3,254,0,2,0.8,45,44.276610305781375,-0.016075326538191662,Appropriately valued
Maxence Lacroix,DEF,45,114,3116,1,2,45,11,111.4,723.8,113.7,277.0,9,463,0,5,0.9,50,49.19541802812141,-0.016091639437571813,Appropriately valued
Antoine Semenyo,MID,57,165,3202,11,7,41,11,267.8,792.2,688.9,1204.0,14,571,0,9,8.0,70,68.86742072781567,-0.01617970388834757,Appropriately valued
Mason Mount,MID,63,25,613,1,0,11,3,45.6,104.0,140.0,218.0,0,74,0,3,0.2,60,58.95782693705702,-0.017369551049049647,Appropriately valued
Donyell Malen,MID,53,34,296,3,0,6,0,38.5,138.2,42.7,208.0,3,112,0,0,0.2,55,54.01949791441954,-0.01782731064691748,Appropriately valued
Claudio Echeverri,MID,58,1,5,0,0,0,0,0.3,2.2,0.4,0.0,0,2,0,0,0.0,55,54.01074975238288,-0.017986368138493122,Appropriately valued
Danny Welbeck,FWD,55,125,2109,10,5,37,7,155.8,550.2,331.3,676.0,21,484,0,5,6.9,65,63.80869334798396,-0.01832779464640059,Appropriately valued
Ryan Gravenberch,MID,50,92,3160,0,4,35,14,114.7,550.6,473.9,121.0,1,568,1,5,0.7,55,53.97758914441427,-0.01858928828337696,Appropriately valued
Romain Esse,MID,47,22,138,1,2,3,0,16.4,74.8,38.4,51.0,3,72,0,0,0.1,50,49.05858771321034,-0.01882824573579313,Appropriately valued
Simon Adingra,MID,51,60,1081,2,3,23,2,80.9,212.4,261.9,337.0,0,207,0,0,0.3,55,53.954861062197324,-0.019002526141866836,Appropriately valued
Jean-Clair Todibo,DEF,42,54,1824,0,0,33,5,44.5,373.0,37.1,35.0,1,233,0,3,0.3,45,44.133204312184965,-0.019262126395889666,Appropriately valued
Jack Harrison,MID,52,81,2068,1,3,27,7,108.6,277.0,527.7,288.0,4,291,0,0,0.2,55,53.9145634562076,-0.019735209887134498,Appropriately valued
Emmanuel Agbadou,DEF,40,45,1410,1,0,22,4,52.0,395.2,57.3,67.0,1,223,0,3,0.4,45,44.09895418522268,-0.020023240328384873,Appropriately valued
Konstantinos Tsimikas,DEF,46,43,829,0,1,8,4,52.5,202.0,260.7,60.0,3,217,0,2,0.2,50,48.996537164820126,-0.02006925670359749,Appropriately valued
Lewis Dunk,DEF,42,44,2081,0,1,42,4,66.9,425.4,115.7,128.0,0,223,0,5,2.3,45,44.082196480833254,-0.020395633759261025,Appropriately valued
Guido Rodríguez,MID,48,36,1147,0,1,19,4,31.5,205.4,79.7,29.0,0,193,0,6,0.1,50,48.967411538063175,-0.020651769238736507,Appropriately valued
Leny Yoro,DEF,43,22,1160,0,0,24,1,31.8,207.4,55.8,54.0,0,90,0,5,0.2,45,43.94153134034363,-0.023521525770141553,Appropriately valued
Evan Ferguson,FWD,55,28,385,1,0,9,1,25.0,80.0,68.5,104.0,2,97,0,0,0.3,55,53.6928215944477,-0.023766880100950905,Appropriately valued
Francisco Evanilson de Lima Barbosa,FWD,59,128,2317,10,5,30,11,174.8,456.0,331.9,966.0,20,487,1,1,8.5,70,68.33479205463354,-0.02378868493380659,Appropriately valued
Taiwo Awoniyi,FWD,55,32,398,1,0,10,1,21.9,67.0,40.9,118.0,0,89,0,0,0.3,55,53.685175471002886,-0.02390590052722026,Appropriately valued
Joachim Andersen,DEF,42,51,2673,0,0,47,4,95.0,687.6,99.0,162.0,3,306,1,7,3.4,45,43.87650284641364,-0.024966603413030145,Appropriately valued
Radu Drăgușin,DEF,43,24,1250,0,0,29,2,36.2,256.4,58.1,47.0,0,96,0,1,0.1,45,43.87519089418558,-0.02499575790698714,Appropriately valued
Moisés Caicedo Corozo,MID,49,98,3351,1,4,42,12,129.2,627.6,568.8,95.0,4,650,0,11,1.0,55,53.62274434821531,-0.025041011850630665,Appropriately valued
Bernd Leno,GK,50,115,3420,0,2,54,5,98.6,967.0,20.0,0.0,5,475,0,5,2.9,50,48.74781003518235,-0.02504379929635306,Appropriately valued
Ederson Santana de Moraes,GK,53,111,2320,0,4,26,10,60.9,567.0,43.0,0.0,9,400,0,4,5.7,55,53.585764409713136,-0.02571337436885208,Appropriately valued
Solly March,MID,65,7,161,0,0,3,0,10.1,24.0,59.6,18.0,0,25,0,2,0.0,60,58.444541841733624,-0.02592430263777293,Appropriately valued
Brennan Johnson,MID,62,137,2171,11,6,38,2,161.0,559.6,295.0,761.0,13,461,0,5,2.3,70,68.18281727346941,-0.025959753236151278,Appropriately valued
Dominic Solanke-Mitchell,FWD,73,108,2199,9,5,43,4,142.1,505.8,199.8,729.0,7,404,0,0,4.7,75,73.01680572815272,-0.02644259029129709,Appropriately valued
André Onana,GK,49,120,3060,0,0,44,9,74.7,733.0,13.0,0.0,8,443,0,0,5.0,50,48.65881248073056,-0.02682375038538879,Appropriately valued
Youssef Ramalho Chermiti,FWD,49,3,42,0,0,0,0,3.0,2.4,0.6,27.0,0,9,0,1,0.0,50,48.6587623630514,-0.026824752738971967,Appropriately valued
Liam Delap,FWD,56,132,2587,12,2,58,3,157.5,513.0,290.5,783.0,22,472,0,12,3.3,65,63.22328172439042,-0.027334127317070495,Appropriately valued
Fábio Freitas Gouveia Carvalho,MID,45,35,443,2,1,14,0,36.3,142.2,71.5,154.0,1,127,0,1,0.4,50,48.60343254477656,-0.027931349104468806,Appropriately valued
Alex Scott,MID,47,26,745,0,0,8,3,43.2,141.6,171.6,118.0,0,132,0,3,0.0,50,48.59872962194204,-0.02802540756115917,Appropriately valued
Gustavo Nunes Fernandes Gomes,MID,49,3,11,0,0,2,0,1.2,10.0,0.3,2.0,0,11,0,0,0.0,50,48.59443590480488,-0.02811128190390235,Appropriately valued
Michael Keane,DEF,38,48,1046,3,0,20,3,45.4,306.6,23.2,123.0,4,139,0,5,4.3,45,43.685891425942195,-0.02920241275684011,Appropriately valued
Jeremy Sarmiento Morante,MID,49,1,8,0,0,0,0,0.1,0.2,0.8,0.0,0,3,0,0,0.0,50,48.49882230960027,-0.030023553807994575,Appropriately valued
Marc Cucurella Saseta,DEF,54,133,2988,5,2,38,9,137.9,668.6,350.6,358.0,14,533,1,8,11.8,60,58.19835722360646,-0.030027379606559042,Appropriately valued
Vitalii Mykolenko,DEF,44,121,3082,1,3,39,11,115.2,621.4,428.5,100.0,9,467,0,4,6.7,50,48.49631331655115,-0.030073733668976955,Appropriately valued
Philip Billing,MID,48,10,176,0,0,4,0,20.4,54.0,102.4,47.0,0,52,0,1,0.0,50,48.474911768633525,-0.030501764627329495,Appropriately valued
Frank Onyeka,MID,49,2,23,0,0,0,0,0.0,0.0,0.5,0.0,0,3,0,0,0.0,50,48.47277699439817,-0.03054446011203666,Appropriately valued
Callum Hudson-Odoi,MID,51,103,2190,5,3,23,11,151.0,445.6,663.9,405.0,7,454,0,2,1.2,60,58.097561986416565,-0.03170730022639058,Appropriately valued
Cheick Doucouré,MID,48,19,443,0,1,6,1,10.8,58.6,25.7,23.0,0,71,0,1,0.0,50,48.38635701199963,-0.03227285976000743,Appropriately valued
Sepp van den Berg,DEF,41,62,2584,0,1,49,5,92.3,587.4,108.3,226.0,1,266,0,3,1.5,45,43.538721378948196,-0.03247285824559564,Appropriately valued
Norberto Murara Neto,GK,41,7,180,0,0,2,0,7.8,77.8,0.0,0.0,0,30,0,0,0.7,45,43.53613720877448,-0.032530284249456067,Appropriately valued
Dwight McNeil,MID,51,93,1366,4,8,24,5,123.3,392.0,631.8,207.0,9,401,0,1,1.4,60,57.96603744325628,-0.03389937594572861,Appropriately valued
Kyle Walker-Peters,DEF,42,54,2918,0,3,77,2,114.4,503.8,406.8,237.0,3,240,0,5,0.3,45,43.45218549979919,-0.034395877782240174,Appropriately valued
Christopher Nkunku,MID,57,60,904,3,2,16,2,77.1,230.2,204.9,339.0,5,190,0,2,2.0,60,57.876393222540855,-0.035393446290985744,Appropriately valued
Bukayo Saka,MID,104,127,1724,6,11,21,7,227.9,606.0,842.8,830.0,18,508,0,3,20.2,100,96.23294799363703,-0.03767052006362974,Appropriately valued
Jason Steele,GK,40,9,180,0,0,1,1,4.1,40.4,0.0,0.0,1,46,0,0,0.7,45,43.27043630872717,-0.038434748694951774,Appropriately valued
Ollie Scarles,DEF,40,29,659,0,0,9,2,18.6,106.4,54.3,24.0,2,98,0,1,0.1,45,43.269491353180214,-0.03845574770710635,Appropriately valued
Mikkel Damsgaard,MID,49,131,2911,2,10,41,11,205.9,714.8,1006.4,338.0,10,611,0,2,1.2,60,57.69209757384319,-0.0384650404359468,Appropriately valued
Hwang Hee-chan,MID,61,37,646,2,1,19,0,26.7,111.6,72.7,84.0,0,130,0,0,0.2,60,57.66176893164793,-0.03897051780586788,Appropriately valued
Harvey Elliott,MID,52,33,359,1,2,6,0,40.4,118.6,145.8,143.0,3,120,0,1,0.3,55,52.83623253155844,-0.039341226698937505,Appropriately valued
Gabriel Fernando de Jesus,FWD,65,42,600,3,2,5,2,52.6,154.4,119.5,255.0,6,152,0,4,1.0,65,62.43346204140521,-0.03948519936299682,Appropriately valued
Kalvin Phillips,MID,48,27,1231,0,0,30,1,33.8,181.8,116.2,41.0,0,167,1,4,0.1,50,48.009128716687634,-0.03981742566624732,Appropriately valued
Morgan Gibbs-White,MID,65,154,2806,7,11,34,13,210.6,680.4,793.7,632.0,18,594,1,9,7.4,75,71.99935217858622,-0.04000863761885038,Appropriately valued
Lucas Tolentino Coelho de Lima,MID,57,80,2374,4,1,50,4,132.6,433.2,627.7,267.0,5,375,0,10,0.9,60,57.552116625944095,-0.04079805623426509,Appropriately valued
Marcus Rashford,MID,66,95,1414,6,4,15,7,122.1,398.4,451.1,369.0,9,333,0,2,3.7,70,67.13541430448794,-0.04092265279302946,Appropriately valued
Jake O'Brien,DEF,45,65,1568,2,0,17,5,56.0,341.4,108.9,109.0,5,233,0,5,0.9,50,47.9234414411047,-0.041531171177906,Appropriately valued
Boubacar Traoré,MID,48,1,1,0,0,0,0,0.4,4.0,0.0,0.0,0,3,0,0,0.0,50,47.89962264903747,-0.042007547019250635,Appropriately valued
Bruno Borges Fernandes,MID,84,174,3017,8,12,47,10,300.8,1017.8,1407.7,587.0,28,810,2,3,13.7,90,86.2116665576809,-0.04209259380354556,Appropriately valued
Andrew Robertson,DEF,58,91,2479,0,1,32,10,124.4,395.4,668.7,182.0,4,397,1,3,4.0,60,57.46359502533791,-0.04227341624436818,Appropriately valued
Mohamed Salah,MID,136,344,3374,29,18,40,15,476.0,1577.0,1199.2,1985.0,55,1133,0,1,66.3,145,138.77609233291759,-0.042923501152292515,Appropriately valued
Alphonse Areola,GK,42,69,2259,0,0,41,4,62.1,619.8,0.0,0.0,1,261,0,0,7.2,45,43.06284653822502,-0.043047854706110736,Appropriately valued
Alexander Isak,FWD,94,211,2758,23,6,41,12,292.7,1043.0,573.1,1320.0,36,848,0,1,49.4,105,100.47642387073628,-0.0430816774215592,Appropriately valued
Noni Madueke,MID,60,120,2028,7,5,28,6,195.3,479.2,475.1,998.0,12,425,0,3,3.2,70,66.92096139005702,-0.04398626585632834,Appropriately valued
Lisandro Martínez,DEF,43,68,1751,2,1,27,6,73.8,426.6,153.9,158.0,5,293,0,7,2.2,50,47.70912306008217,-0.045817538798356594,Appropriately valued
Joe Gomez,DEF,47,14,517,0,0,8,1,22.8,130.4,38.5,58.0,0,83,0,1,0.4,50,47.61908739805149,-0.04761825203897018,Appropriately valued
João Victor Gomes da Silva,MID,49,87,2975,3,1,59,6,117.3,513.4,428.9,231.0,7,489,1,9,0.2,55,52.34159075261326,-0.04833471358884987,Appropriately valued
John Stones,DEF,53,29,544,2,0,11,1,27.4,155.6,49.8,70.0,2,92,0,1,1.0,55,52.320972227303166,-0.04870959586721517,Appropriately valued
Jordan Pickford,GK,52,158,3420,0,1,44,12,107.0,1052.0,20.3,0.0,15,593,0,7,15.9,55,52.29674590961262,-0.049150074370679676,Appropriately valued
Lewis Hall,DEF,47,102,2188,0,7,31,8,125.3,561.6,561.2,128.0,11,443,0,3,4.4,55,52.24848933320589,-0.05002746666898384,Overvalued (actual above predicted)
Tyrique George,MID,45,17,177,1,1,0,1,17.1,67.4,72.7,32.0,0,55,0,1,0.0,50,47.488904135695066,-0.050221917286098684,Overvalued (actual above predicted)
Erling Haaland,FWD,149,181,2736,22,3,38,10,281.8,946.0,359.4,1511.0,26,795,0,2,24.0,140,132.94109160646812,-0.050420774239513425,Overvalued (actual above predicted)
Emile Smith Rowe,MID,50,114,2036,6,3,28,7,124.4,433.8,422.3,386.0,15,449,0,3,7.3,60,56.96632453705442,-0.050561257715759686,Overvalued (actual above predicted)
Yankuba Minteh,MID,48,102,1831,6,5,33,4,159.1,523.8,448.9,615.0,8,398,0,6,1.0,60,56.962453589331844,-0.05062577351113594,Overvalued (actual above predicted)
Sam Johnstone,GK,41,12,630,0,0,17,0,20.4,193.8,10.0,0.0,0,42,0,0,0.2,45,42.69126938166504,-0.051305124851888054,Overvalued (actual above predicted)
Manuel Akanji,DEF,53,61,2012,0,0,28,6,68.9,339.8,249.8,100.0,1,307,0,3,2.3,55,52.08510846620712,-0.05299802788714332,Overvalued (actual above predicted)
Guglielmo Vicario,GK,48,66,2160,0,0,37,4,58.5,587.8,0.0,0.0,2,293,0,1,1.8,50,47.30308432949215,-0.05393831341015698,Overvalued (actual above predicted)
Tomáš Souček,MID,48,126,2563,9,2,44,7,154.0,672.6,231.8,643.0,15,442,0,8,1.5,60,56.75795203565097,-0.05403413273915045,Overvalued (actual above predicted)
Rico Lewis,DEF,43,66,1888,1,2,27,5,65.0,293.8,218.6,139.0,1,285,1,3,3.5,50,47.298113000632796,-0.05403773998734408,Overvalued (actual above predicted)
Morgan Rogers,MID,58,161,3115,8,11,40,10,214.2,730.6,722.7,689.0,15,534,0,10,25.8,70,66.2133273341803,-0.0540953237974242,Overvalued (actual above predicted)
Maxwel Cornet,MID,47,1,71,0,0,4,0,2.2,11.6,3.5,7.0,0,12,0,1,0.0,50,47.27944528325345,-0.054411094334930965,Overvalued (actual above predicted)
Marshall Munetsi,MID,50,50,1077,2,2,11,5,52.3,176.8,132.9,212.0,4,134,0,0,0.1,55,51.93309032716043,-0.05576199405162857,Overvalued (actual above predicted)
Dango Ouattara,MID,45,111,1998,7,4,23,7,187.2,624.6,496.8,754.0,7,432,0,3,0.9,60,56.62967246688358,-0.05617212555194039,Overvalued (actual above predicted)
Endo Wataru,MID,46,21,259,0,0,5,0,10.0,57.6,38.2,6.0,0,82,0,0,0.1,50,47.15366159797367,-0.05692676804052667,Overvalued (actual above predicted)
Luis Guilherme Lira dos Santos,MID,46,12,139,0,0,5,0,10.8,27.6,49.1,32.0,0,47,0,0,0.0,50,47.12700493544957,-0.05745990129100861,Overvalued (actual above predicted)
Wilson Odobert,MID,53,34,843,1,0,20,1,36.7,101.2,108.6,156.0,3,92,0,0,0.0,55,51.729753786676035,-0.059459022060435726,Overvalued (actual above predicted)
Georginio Rutter,MID,50,95,1651,5,6,29,6,103.0,355.4,281.8,404.0,1,288,0,2,0.3,60,56.37762371827453,-0.06037293802875787,Overvalued (actual above predicted)
Rayan Aït-Nouri,DEF,51,125,3112,4,7,67,7,191.0,778.4,694.3,435.0,13,447,1,5,15.0,60,56.34342125658223,-0.0609429790569628,Overvalued (actual above predicted)
Jack Grealish,MID,64,38,710,1,1,10,2,71.3,157.2,321.4,234.0,4,187,0,3,0.2,65,60.95686442542466,-0.06220208576269751,Overvalued (actual above predicted)
Nathan Aké,DEF,53,25,677,0,0,11,3,15.9,104.6,33.7,20.0,0,121,0,0,0.8,55,51.565865317721716,-0.062438812405059704,Overvalued (actual above predicted)
Roméo Lavia,MID,45,26,792,0,1,11,3,24.4,113.2,121.7,7.0,0,125,0,4,0.4,50,46.85451085883563,-0.06290978282328737,Overvalued (actual above predicted)
Milos Kerkez,DEF,53,134,3336,2,6,45,9,157.3,694.0,642.0,238.0,10,550,0,4,20.0,60,56.172233973891274,-0.06379610043514544,Overvalued (actual above predicted)
Dean Henderson,GK,46,135,3420,0,0,51,11,88.6,853.6,30.0,4.0,8,466,0,3,11.7,50,46.79327306661723,-0.06413453866765537,Overvalued (actual above predicted)
Iliman Ndiaye,MID,52,114,2426,9,0,24,15,142.0,598.0,326.4,493.0,21,552,0,3,1.1,65,60.68592657102581,-0.06637036044575677,Overvalued (actual above predicted)
Mikey Moore,MID,45,19,359,0,2,5,0,11.0,33.2,45.2,34.0,0,51,0,0,0.2,50,46.66569898653977,-0.06668602026920453,Overvalued (actual above predicted)
Sven Botman,DEF,44,18,412,0,0,4,2,23.6,110.4,28.4,96.0,0,95,0,1,0.0,50,46.535014608931924,-0.06929970782136152,Overvalued (actual above predicted)
Carlos Alcaraz Durán,MID,47,44,766,2,3,9,1,65.4,219.4,205.7,227.0,5,191,0,4,0.1,55,51.10196470922492,-0.07087336892318322,Overvalued (actual above predicted)
Sean Longstaff,MID,44,34,783,0,1,11,2,27.3,117.2,78.4,76.0,0,131,0,2,0.3,50,46.45556862264583,-0.07088862754708344,Overvalued (actual above predicted)
Federico Chiesa,MID,68,7,103,0,0,3,0,6.7,9.0,23.5,36.0,0,16,0,0,0.2,65,60.319433546895176,-0.07200871466315113,Overvalued (actual above predicted)
Illia Zabarnyi,DEF,44,94,3109,0,1,42,8,92.0,651.4,177.0,88.0,8,429,1,4,0.5,50,46.332651571983504,-0.0733469685603299,Overvalued (actual above predicted)
Rodrigo Bentancur,MID,49,49,1640,2,0,26,3,70.2,324.6,208.5,165.0,1,293,0,9,0.1,55,50.9457675399853,-0.07371331745481277,Overvalued (actual above predicted)
Archie Gray,MID,46,45,1750,0,0,41,2,34.3,254.6,71.4,15.0,0,253,0,1,0.2,50,46.27297349073287,-0.07454053018534253,Overvalued (actual above predicted)
Anthony Elanga,MID,55,153,2496,6,11,35,12,199.8,627.0,785.4,582.0,15,535,0,1,9.4,70,64.60872114060993,-0.07701826941985815,Overvalued (actual above predicted)
Pedro Lomba Neto,MID,61,104,2262,4,6,25,8,180.0,492.0,762.7,545.0,9,434,0,8,1.4,70,64.58919499841942,-0.07729721430829406,Overvalued (actual above predicted)
Vitor de Oliveira Nunes dos Reis,DEF,45,1,1,0,0,0,0,0.3,3.2,0.0,0.0,0,4,0,0,0.0,50,46.07135865177808,-0.07857282696443846,Overvalued (actual above predicted)
Kevin Schade,MID,53,149,2281,11,4,34,10,183.3,630.8,312.7,892.0,12,498,0,3,3.3,70,64.47651300474276,-0.07890695707510348,Overvalued (actual above predicted)
Jarrad Branthwaite,DEF,49,88,2509,0,1,28,9,81.3,624.6,57.7,130.0,3,420,0,4,1.9,55,50.61485659053283,-0.07972988017213034,Overvalued (actual above predicted)
Yehor Yarmoliuk,MID,43,43,1435,0,0,25,3,54.4,259.6,196.1,89.0,0,255,0,6,2.3,50,45.96001283452195,-0.08079974330956105,Overvalued (actual above predicted)
André Trindade da Costa Neto,MID,50,61,2472,0,0,46,7,69.7,383.2,285.5,30.0,1,436,0,7,0.0,55,50.530290523161426,-0.08126744503342861,Overvalued (actual above predicted)
Ethan Nwaneri,MID,43,66,882,4,2,4,4,83.0,293.2,282.8,255.0,4,251,0,1,1.5,55,50.52848259922224,-0.08130031637777752,Overvalued (actual above predicted)
Enzo Fernández,MID,47,135,2943,6,8,37,10,241.3,761.6,1131.6,517.0,11,691,0,8,4.1,65,59.44797590076058,-0.08541575537291413,Overvalued (actual above predicted)
Ibrahim Sangaré,MID,43,20,584,0,1,6,2,23.2,130.6,80.3,21.0,0,107,0,3,1.2,50,45.67132691756544,-0.08657346164869124,Overvalued (actual above predicted)
James Tarkowski,DEF,47,105,2922,1,1,38,10,126.9,859.0,188.8,217.0,8,468,0,6,1.6,55,50.22277974597989,-0.08685855007309287,Overvalued (actual above predicted)
Reece James,DEF,48,54,1057,1,2,14,3,46.7,207.6,202.1,56.0,5,223,0,1,1.1,55,50.212359629173314,-0.08704800674230338,Overvalued (actual above predicted)
Igor Thiago Nascimento Rodrigues,FWD,59,9,167,0,0,4,0,5.8,18.2,30.6,12.0,0,32,0,0,0.0,60,54.73283242831414,-0.08778612619476434,Overvalued (actual above predicted)
Carlos Henrique Casimiro,MID,46,48,1489,1,0,20,6,104.8,433.2,348.2,265.0,3,300,0,5,0.4,55,50.162595876764925,-0.08795280224063773,Overvalued (actual above predicted)
Emiliano Buendía Stati,MID,51,11,89,0,0,2,0,5.2,16.4,23.2,16.0,0,37,0,1,0.1,55,50.099990958055386,-0.08909107348990207,Overvalued (actual above predicted)
Noussair Mazraoui,DEF,42,88,2836,0,1,43,7,107.5,619.4,332.7,123.0,5,410,0,3,7.3,50,45.335310274898475,-0.0932937945020305,Overvalued (actual above predicted)
Yves Bissouma,MID,48,50,1396,2,0,28,3,48.0,283.8,133.8,59.0,4,258,0,7,0.2,55,49.75754264742101,-0.09531740641052706,Overvalued (actual above predicted)
Tim Iroegbunam,MID,43,22,562,0,1,16,0,19.6,122.2,40.9,32.0,0,82,0,4,0.6,50,45.11243430429555,-0.09775131391408905,Overvalued (actual above predicted)
William Osula,FWD,49,19,124,1,0,3,0,10.5,42.4,25.1,37.0,1,59,0,0,0.2,55,49.584318132303125,-0.0984669430490341,Overvalued (actual above predicted)
Jakub Kiwior,DEF,49,43,1117,1,0,15,3,39.2,267.2,91.3,32.0,2,178,0,1,3.8,55,49.39791313813506,-0.10185612476118074,Overvalued (actual above predicted)
Abdukodir Khusanov,DEF,50,14,503,0,0,6,2,14.1,102.0,33.9,4.0,0,78,0,1,0.3,55,49.34448053281467,-0.10282762667609688,Overvalued (actual above predicted)
James McAtee,MID,46,31,340,3,0,6,0,30.7,113.0,64.6,136.0,0,102,0,1,0.1,55,49.25915033226016,-0.10437908486799705,Overvalued (actual above predicted)
Ryan Sessegnon,MID,42,57,574,4,2,10,1,67.1,284.0,158.8,227.0,5,137,0,1,2.6,55,48.43249964026045,-0.11940909744980996,Overvalued (actual above predicted)
Myles Lewis-Skelly,DEF,45,37,1362,1,0,16,5,40.0,176.0,170.7,57.0,0,237,2,3,0.4,55,48.34215980747946,-0.12105163986400978,Overvalued (actual above predicted)
Mathys Tel,MID,58,42,908,2,2,20,2,62.3,183.8,208.3,236.0,2,151,0,2,0.1,65,57.05983204915737,-0.12215643001296352,Overvalued (actual above predicted)
João Pedro Junqueira de Jesus,FWD,55,126,1946,10,6,28,6,166.0,567.0,456.0,644.0,26,516,1,4,8.5,75,64.79386533725909,-0.13608179550321212,Overvalued (actual above predicted)
Oscar Bobb,MID,47,3,14,0,0,1,0,1.6,4.4,12.6,0.0,0,13,0,0,0.1,55,47.39085956423018,-0.13834800792308757,Overvalued (actual above predicted)
Lucas Bergvall,MID,44,44,1200,0,2,25,3,55.0,237.2,218.7,97.0,0,216,0,3,0.8,55,47.2215986368262,-0.1414254793304327,Overvalued (actual above predicted)
Omar Marmoush,MID,74,73,1174,7,1,12,8,97.3,318.0,246.7,410.0,12,326,0,0,22.6,85,71.9255923215297,-0.15381656092317994,Overvalued (actual above predicted)
